State,County,TotalVotes,Men,TotalPop,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingPop,total_votes_by_state,non_voters
Delaware,Kent County,87025,83544,173145,89601,6.8,62.7,24.1,0.6,2,0,128114,504010,41089
Delaware,New Castle County,287633,268818,555036,286218,9.6,58.5,24.1,0.2,5.4,0,403642,504010,116009
Delaware,Sussex County,129352,104514,215551,111037,9.2,74.9,12.1,0.4,1.2,0,165573,504010,36221
District of Columbia,District of Columbia,41681,319046,672391,353345,10.7,36,46.9,0.2,3.7,0,503112,344356,461431
District of Columbia,Ward 2,32881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
District of Columbia,Ward 3,44231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
District of Columbia,Ward 4,45296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
District of Columbia,Ward 5,46107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
District of Columbia,Ward 6,62918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
District of Columbia,Ward 7,38384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
District of Columbia,Ward 8,32858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344356,NA
Florida,Alachua County,142604,125712,259865,134153,9.3,62,19.8,0.3,5.9,0.1,200490,11067456,57886
Florida,Baker County,14059,14422,27537,13115,2.4,81.9,13.8,0.4,0.7,0,20673,11067456,6614
Florida,Bay County,93024,89542,180117,90575,6,77.3,10.7,0.7,2.3,0,137132,11067456,44108
Florida,Bradford County,13632,14754,26775,12021,3.8,74.5,19.1,0.3,0.6,0,21017,11067456,7385
Florida,Brevard County,360764,277666,568183,290517,9.7,75.3,9.8,0.3,2.4,0.1,445123,11067456,84359
Florida,Broward County,957672,920265,1890416,970151,28.4,38.2,27.4,0.2,3.5,0,1247710,11067456,290038
Florida,Calhoun County,6526,7872,14458,6586,5.8,76.9,12.8,0.9,0.8,0,11034,11067456,4508
Florida,Charlotte County,116340,84432,173236,88804,6.9,84.4,5.5,0.3,1.2,0,144514,11067456,28174
Florida,Citrus County,93208,68487,141373,72886,5.3,88.6,2.8,0.3,1.6,0,117655,11067456,24447
Florida,Clay County,124405,100119,203291,103172,9.3,74.2,9.6,0.1,3,0.1,149644,11067456,25239
Florida,Collier County,207818,175608,356774,181166,27.2,63.6,6.8,0.2,1.3,0,247583,11067456,39765
Florida,Columbia County,33042,35425,68484,33059,5.8,73.1,17.6,0.2,0.9,0.1,52547,11067456,19505
Florida,DeSoto County,12659,20184,35675,15491,30.5,55.5,12.8,0.2,0.2,0.1,24109,11067456,11450
Florida,Dixie County,8167,9048,16323,7275,3.9,84.8,7.1,0.4,0.5,0,13063,11067456,4896
Florida,Duval County,492820,442115,912043,469928,9,54.1,29.3,0.2,4.6,0.1,666437,11067456,173617
Florida,Escambia County,170372,153834,309924,156090,5.5,64.8,21.6,0.4,2.8,0.1,238553,11067456,68181
Florida,Flagler County,71716,50436,105015,54579,10,74.7,10,0.3,2.5,0,83353,11067456,11637
Florida,Franklin County,6849,6727,11675,4948,5.2,78.2,13.6,0.1,0.4,0.7,9559,11067456,2710
Florida,Gadsden County,23762,21869,46113,24244,10,32.6,55.3,0.1,0.5,0.1,34299,11067456,10537
Florida,Gilchrist County,9685,8983,17191,8208,5.5,87.2,5.8,0.1,0.1,0,13366,11067456,3681
Florida,Glades County,5193,7479,13197,5718,20.8,60.7,12.9,3.8,0.4,0,10002,11067456,4809
Florida,Gulf County,8163,9595,16018,6423,4.8,74.5,16.8,0.5,0.6,0.2,13312,11067456,5149
Florida,Hamilton County,5830,8228,14238,6010,9.2,54.9,34.1,0.6,0,0,11116,11067456,5286
Florida,Hardee County,8485,14716,27326,12610,43.2,47.4,7.9,0.2,0.6,0,18145,11067456,9660
Florida,Hendry County,12940,20716,39064,18348,51.9,33.5,10.9,1.5,0.9,0.1,21740,11067456,8800
